"Reference","Value","Footprint","Qty","DNP","jlc_bom","Supplier Part"
"H1","~","jlc_library:M3","1","","",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10","LED_SMD_5730","jlc_library:LED-SMD_3P-L5.7-W3.0-RD","10","","","C2843886"
