PCB,5元,
舵机SG90,3.6元,https://item.taobao.com/item.htm?abbucket=8&id=625165836372&ns=1&pisk=g8N-3rX8Wijo8hcGZ_6m-xBnXlQm9WUPquz6tDmkdoEYRmAhzbXE9knYY0DoN0AK9yEUxkUFz2iQAkn3EtfgzzlEOGqds14zITpZGunIRq_IRV3CoYt8Pb8SOGjG9KYjUgcQqLbPyn9j7mgSRvOCkjgn7pGId4afk2gHVpO7Ar_x02mBV4gBcqgr-3GIRvOjGV39AQgIVnMj02GBFkGIaNL-xUip9REVVqsf-Cdw_S3-eDdn2BH8aCDjfLm29BnxoYpuPmdBOSw04ZuSVO8mYbmzP4EF_QlSpRznJuCJNkUago3bf6diVrzgIYP5_pktNmkLNfLCNrh-2AN84Ud7frUQIxFc51l-N0wnayYOqrF8qzPY-e9jwb2xB7h1_3i3nPFKJWSFMlUago3bf6I54HFg6zFHjc3HFZQvLpkSuD4zaYUsMchikcbDnpJEnquxjZQvLpkSuqnGosveLx0V.&priceTId=213e378517357468077073388e1b0a&skuId=5480441736199&spm=a21n57.1.item.47.76ed523cZP1BSH&utparam=%7B%22aplus_abtest%22%3A%22cedcd05d139458bf3b99b02b8b498aaa%22%7D&xxc=taobaoSearch
esp-12F,4.6元+1.5元,https://item.taobao.com/item.htm?abbucket=8&id=581718021666&ns=1&pisk=g5RI3g0ChkqCUyZM-D3NcY1z1XfWA3G4Az_JoUFUy6Cd2dTDVMuoK6J1VhK1vWunKTIWx6BkLgSFV_TkcVoqgj8H-_fK0ml4oYrqvsV89_EPWGQANwhI_Aup-_f-VPP-3jTHDEOPWWQRWV_PzaEp29Lt6ZsOygCJ2GBOkZrdw_K-5OQloJe89gUOBZITpuBL91UOra7LeaQ-5FIGP_I-w1o1SvspR2ZyrH37KeTdf7FJ9bXCczIGSNR6l9IApGFJ7C_CdiLBT4SC1Ndw1tWazc59od-d5sGapsL6en9vqxyGOUppqOtnjRswBd8R2OU4ZF65AdddCzFJWFjRhLtIAJjpLh6cWOUSiN-VXeApC4q9JnSC9NBZMqTOedRhnBoTOspD86JJqxyGOUpd1g-agisHL8a1n7_10Vg_E8fD4WYAQqHZL9QG7Ius5kwlpNb10Vg_E8XdSNWq5VZQE&priceTId=2150420a17357467160801505e20a5&skuId=4061882779591&spm=a21n57.1.item.2.76ed523cZP1BSH&utparam=%7B%22aplus_abtest%22%3A%22efaa9fbea5e02a4bf9f47b2a8e6924ee%22%7D&xxc=taobaoSearch
锂电池软包,1000mAh,https://detail.tmall.com/item.htm?abbucket=8&id=741078641850&ns=1&pisk=gjp-3xcJXq0ksWXiEYGcxshhWFnmppKrrU-_KwbuOELvAZ2n4TcFpeQv8aflFa2dpHLe-eKE4M_BReQHZjDM43WFdVYKIAxysbFNhUIQdtiCxGIIm_aJVTr5dV0ipSqfa4XBr7mEorNfbZs5A6wIDtsdvu6COgtjDMs3PWwWRniAuMbQPgsQlisPxz6QFw6XcGs7OJ17d-tfuM6QOe6IaqER-u_LpCLqPigj8jVT6KIRwweh4JCXQRfC52Q4pJQAf_FkVZeQdKODzmS5Pfrc8TbyVgLEQ8W59C-hvUH8FeKw3EIX5veGPn-Ms_JSQW5OFZ5pFOEIFnBRy19JzueW5nKBsspmfAWRFaOhUHqtrnpJr3JvxkNfeTAA6LBsQz_HihpdvpuEHFKw3EIX5v354BpMB3p3SNI3NmnYTW550wxyU_K1HNBGDNm0iWPFiiSASmnYTW550iQimxVUTsjV.&priceTId=2147824617357470416404877e0721&skuId=5284747011218&spm=a21n57.1.item.93.76ed523cZP1BSH&utparam=%7B%22aplus_abtest%22%3A%224157a901528b5984920900b011010c73%22%7D&xxc=taobaoSearch
拨动开关,SS-12F44 3脚2档立式 柄高5MM（15个）,https://detail.tmall.com/item.htm?id=41227706316&ns=1&priceTId=213e377617359163750391520ee838&spm=a21n57.sem.item.5.7c043903r7IqpU&utparam=%7B%22aplus_abtest%22%3A%22eccdddd4633981b2fd78956db05ccfb1%22%7D&xxc=ad_ztc
